/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: error: /etc/nginx/conf.d/default.conf differs from the packages version
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
172.17.0.1 - - [17/Sep/2020:12:23:19 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:23:20 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:23:20 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:23:21 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:23:21 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:23:21 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:23:25 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:23:25 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:51 +0000] "GET /basic_status HTTP/1.1" 200 97 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:53 +0000] "GET /basic_status HTTP/1.1" 200 98 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:54 +0000] "GET /basic_status HTTP/1.1" 200 98 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:54 +0000] "GET /basic_status HTTP/1.1" 200 98 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:54 +0000] "GET /basic_status HTTP/1.1" 200 98 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:54 +0000] "GET /basic_status HTTP/1.1" 200 98 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:54 +0000] "GET /basic_status HTTP/1.1" 200 98 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:56 +0000] "GET /basic_status HTTP/1.1" 200 98 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:56 +0000] "GET /basic_status HTTP/1.1" 200 98 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:56 +0000] "GET /basic_status HTTP/1.1" 200 98 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:56 +0000] "GET /basic_status HTTP/1.1" 200 98 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:56 +0000] "GET /basic_status HTTP/1.1" 200 98 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:57 +0000] "GET /basic_status HTTP/1.1" 200 98 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
172.17.0.1 - - [17/Sep/2020:12:28:57 +0000] "GET /basic_status HTTP/1.1" 200 98 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0" "-"
